a=0xb4a6; output=0x4687
a=0x35b2; output=0xc57b
a=0x2a3d; output=0xd0f0
a=0x0a94; output=0xf099
a=0x4d31; output=0xadfc
a=0xb303; output=0x482a
a=0xabd5; output=0x4f58
a=0xbd91; output=0x3d9c
a=0x16f5; output=0xe438
a=0xd65c; output=0x24d1
a=0x3de6; output=0xbd47
a=0x5086; output=0xaaa7
a=0x62c6; output=0x9867
a=0x01f7; output=0xf936
a=0x8430; output=0x76fd
a=0xfeb9; output=0xfc74
a=0x9713; output=0x641a
a=0x9d5c; output=0x5dd1
a=0xa9d3; output=0x515a
a=0xb29f; output=0x488e
a=0x9a3f; output=0x60ee
a=0xf571; output=0x05bc
a=0x1a36; output=0xe0f7
a=0x5f72; output=0x9bbb
a=0x7313; output=0x881a
a=0x353e; output=0xc5ef
a=0xb7e9; output=0x4344
a=0x42a7; output=0xb886
a=0x5ac4; output=0xa069
a=0x5dd1; output=0x9d5c
a=0xbbc1; output=0x3f6c
a=0x2c2c; output=0xcf01
a=0xcd68; output=0x2dc5
a=0x59c6; output=0xa167
a=0x8bbd; output=0x6f70
a=0x0d02; output=0xee2b
a=0x60ae; output=0x9a7f
a=0x8e14; output=0x6d19
a=0x423b; output=0xb8f2
a=0x1ff8; output=0xdb35
a=0x24ff; output=0xd62e
a=0xef78; output=0x0bb5
a=0x34b7; output=0xc676
a=0xaeff; output=0x4c2e
a=0x036a; output=0xf7c3
a=0xb546; output=0x45e7
a=0xa8c1; output=0x526c
a=0xf17f; output=0x09ae
a=0x4543; output=0xb5ea
a=0xb7bf; output=0x436e
a=0xc16d; output=0x39c0
a=0x0d07; output=0xee26
a=0xb317; output=0x4816
a=0x5276; output=0xa8b7
a=0x6461; output=0x96cc
a=0x97a0; output=0x638d
a=0x6a1b; output=0x9112
a=0x529e; output=0xa88f
a=0x8533; output=0x75fa
a=0x7580; output=0x85ad
a=0xaa00; output=0x512d
a=0x1a78; output=0xe0b5
a=0xe93c; output=0x11f1
a=0x5125; output=0xaa08
a=0x8505; output=0x7628
a=0xe4f4; output=0x1639
a=0x527c; output=0xa8b1
a=0x2dbf; output=0xcd6e
a=0xc636; output=0x34f7
a=0x1709; output=0xe424
a=0x7ab1; output=0x807c
a=0x618d; output=0x99a0
a=0xea6a; output=0x10c3
a=0xdc40; output=0x1eed
a=0x2a0d; output=0xd120
a=0xdcf7; output=0x1e36
a=0x1668; output=0xe4c5
a=0xb874; output=0x42b9
a=0xb9ab; output=0x4182
a=0xbdfe; output=0x3d2f
a=0x3661; output=0xc4cc
a=0x9f13; output=0x5c1a
a=0xc4b9; output=0x3674
a=0x6e87; output=0x8ca6
a=0x9ccc; output=0x5e61
a=0x7599; output=0x8594
a=0x89bd; output=0x7170
a=0xfee3; output=0xfc4a
a=0x0aea; output=0xf043
a=0xd0b1; output=0x2a7c
a=0x6071; output=0x9abc
a=0x6e0f; output=0x8d1e
a=0x9978; output=0x61b5
a=0xa2c8; output=0x5865
a=0x6bd7; output=0x8f56
a=0x6e19; output=0x8d14
a=0xd4ad; output=0x2680
a=0x280c; output=0xd321
a=0x836f; output=0x77be
a=0xb491; output=0x469c
a=0xb567; output=0x45c6
a=0x85ea; output=0x7543
a=0xbf17; output=0x3c16
a=0xb3bc; output=0x4771
a=0x2dc2; output=0xcd6b
a=0xfe77; output=0xfcb6
a=0x6455; output=0x96d8
a=0x5ac1; output=0xa06c
a=0x46fc; output=0xb431
a=0x3db5; output=0xbd78
a=0x14f7; output=0xe636
a=0xb76e; output=0x43bf
a=0x4ff2; output=0xab3b
a=0xa77b; output=0x53b2
a=0xeedb; output=0x0c52
a=0x2643; output=0xd4ea
a=0x5a91; output=0xa09c
a=0xa1f4; output=0x5939
a=0xe91a; output=0x1213
a=0x76cd; output=0x8460
a=0x7a71; output=0x80bc
a=0x175b; output=0xe3d2
a=0x69e9; output=0x9144
a=0xadc4; output=0x4d69
a=0xac6a; output=0x4ec3
a=0x51cb; output=0xa962
a=0x56a2; output=0xa48b
a=0xe638; output=0x14f5
a=0xc1c0; output=0x396d
a=0x8018; output=0x7b15
a=0xad5d; output=0x4dd0
a=0x5ebd; output=0x9c70
a=0x6049; output=0x9ae4
a=0x9e69; output=0x5cc4
a=0x9f42; output=0x5beb
a=0x453a; output=0xb5f3
a=0x10c4; output=0xea69
a=0x07f9; output=0xf334
a=0xb89f; output=0x428e
a=0xe1ec; output=0x1941
a=0xd7d9; output=0x2354
a=0x44f4; output=0xb639
a=0x7772; output=0x83bb
a=0x0997; output=0xf196
a=0xe42d; output=0x1700
a=0xec4d; output=0x0ee0
a=0x3f32; output=0xbbfb
a=0x9329; output=0x6804
a=0x84f1; output=0x763c
a=0x3354; output=0xc7d9
a=0x82ae; output=0x787f
a=0x7e00; output=0x7d2d
a=0xd88e; output=0x229f
a=0xd8c2; output=0x226b
a=0xa44a; output=0x56e3
a=0xfc0f; output=0xff1e
a=0x01e1; output=0xf94c
a=0x885c; output=0x72d1
a=0x7192; output=0x899b
a=0x1548; output=0xe5e5
a=0x7003; output=0x8b2a
a=0xadd2; output=0x4d5b
a=0x9b4d; output=0x5fe0
a=0xdcd8; output=0x1e55
a=0x9e55; output=0x5cd8
a=0x98f4; output=0x6239
a=0x60d4; output=0x9a59
a=0x5e0b; output=0x9d22
a=0x1f0c; output=0xdc21
a=0x57c9; output=0xa364
a=0x2ae6; output=0xd047
a=0x07eb; output=0xf342
a=0x05a2; output=0xf58b
a=0x9a57; output=0x60d6
a=0x8035; output=0x7af8
a=0xea9c; output=0x1091
a=0x4161; output=0xb9cc
a=0x13cd; output=0xe760
a=0x069d; output=0xf490
a=0x99a5; output=0x6188
a=0xd5f2; output=0x253b
a=0xf265; output=0x08c8
a=0x2f56; output=0xcbd7
a=0xf9f0; output=0x013d
a=0x1057; output=0xead6
a=0x5fd8; output=0x9b55
a=0xfd37; output=0xfdf6
a=0x757f; output=0x85ae
a=0x5291; output=0xa89c
a=0x43b8; output=0xb775
a=0xd5d9; output=0x2554
a=0xca7e; output=0x30af
a=0x899e; output=0x718f
a=0x1e5e; output=0xdccf
a=0xa918; output=0x5215
a=0x379a; output=0xc393
a=0x94fc; output=0x6631
a=0xb008; output=0x4b25
a=0xa6a4; output=0x5489
a=0x9fc5; output=0x5b68
a=0x6902; output=0x922b
a=0xd486; output=0x26a7
a=0x651f; output=0x960e
a=0x9c28; output=0x5f05
a=0xc549; output=0x35e4
a=0xb4a2; output=0x468b
a=0xeeb2; output=0x0c7b
a=0x22e6; output=0xd847
a=0xbac5; output=0x4068
a=0x4dfd; output=0xad30
a=0xfc3a; output=0xfef3
a=0x9acf; output=0x605e
a=0x41d2; output=0xb95b
a=0x1356; output=0xe7d7
a=0x3248; output=0xc8e5
a=0xc862; output=0x32cb
a=0x9c33; output=0x5efa
a=0x9f7e; output=0x5baf
a=0xe78e; output=0x139f
a=0xa146; output=0x59e7
a=0x5ac6; output=0xa067
a=0xd035; output=0x2af8
a=0x8eb6; output=0x6c77
a=0x7500; output=0x862d
a=0x3a8f; output=0xc09e
a=0x1b9b; output=0xdf92
a=0x5ab0; output=0xa07d
a=0xab3d; output=0x4ff0
a=0x340b; output=0xc722
a=0xfe79; output=0xfcb4
a=0x4231; output=0xb8fc
a=0x1fe7; output=0xdb46
a=0xd2e1; output=0x284c
a=0x593e; output=0xa1ef
a=0xe203; output=0x192a
a=0xc2c2; output=0x386b
a=0x3b8b; output=0xbfa2
a=0xdb37; output=0x1ff6
a=0x3aac; output=0xc081
a=0xe273; output=0x18ba
a=0xb20f; output=0x491e
a=0x9753; output=0x63da
a=0x7e43; output=0x7cea
a=0xaba9; output=0x4f84
a=0xf7cc; output=0x0361
a=0x22b4; output=0xd879
a=0x1ac0; output=0xe06d
a=0x70a1; output=0x8a8c
a=0xe7d0; output=0x135d
a=0xd004; output=0x2b29
a=0x8a3a; output=0x70f3
a=0x1683; output=0xe4aa
a=0xb921; output=0x420c
a=0x9614; output=0x6519
a=0x3a43; output=0xc0ea
a=0xc72a; output=0x3403
a=0x9904; output=0x6229
a=0x1b99; output=0xdf94
a=0xff3b; output=0xfbf2
a=0x6c74; output=0x8eb9
a=0xb05f; output=0x4ace
a=0xe0e3; output=0x1a4a
a=0x6d33; output=0x8dfa
a=0xb53e; output=0x45ef
a=0x103e; output=0xeaef
a=0x548c; output=0xa6a1
a=0x1665; output=0xe4c8
a=0xfaca; output=0x0063
a=0x8b2b; output=0x7002
a=0xc65c; output=0x34d1
a=0x05f0; output=0xf53d
a=0x5c1b; output=0x9f12
a=0x87e6; output=0x7347
a=0x627d; output=0x98b0
a=0x233e; output=0xd7ef
a=0xcc72; output=0x2ebb
a=0xa083; output=0x5aaa
a=0x0ff1; output=0xeb3c
a=0x9d2f; output=0x5dfe
a=0x02b0; output=0xf87d
a=0x32fb; output=0xc832
a=0xae50; output=0x4cdd
a=0x2b87; output=0xcfa6
a=0x039c; output=0xf791
a=0xd5f3; output=0x253a
a=0x1485; output=0xe6a8
a=0x0c8c; output=0xeea1
a=0x6a4b; output=0x90e2
a=0x2c72; output=0xcebb
a=0x8727; output=0x7406
a=0x141a; output=0xe713
a=0xdd04; output=0x1e29
a=0x05f5; output=0xf538
a=0xa3b1; output=0x577c
a=0xbcd3; output=0x3e5a
a=0x5d90; output=0x9d9d
a=0x1afc; output=0xe031
a=0xeac8; output=0x1065
a=0x5742; output=0xa3eb
a=0x6ab1; output=0x907c
a=0xf3f2; output=0x073b
a=0x29d4; output=0xd159
a=0x24f0; output=0xd63d
a=0xe542; output=0x15eb
a=0xfd9e; output=0xfd8f
a=0x47e4; output=0xb349
a=0xebd4; output=0x0f59
a=0xf628; output=0x0505
a=0x0181; output=0xf9ac
a=0x840b; output=0x7722
a=0x60f8; output=0x9a35
a=0x5b25; output=0xa008
a=0x20ee; output=0xda3f
a=0x3bba; output=0xbf73
a=0x12fa; output=0xe833
a=0x2137; output=0xd9f6
a=0x2bfe; output=0xcf2f
a=0xb851; output=0x42dc
a=0x7918; output=0x8215
a=0x3150; output=0xc9dd
a=0x4436; output=0xb6f7
a=0x5ce3; output=0x9e4a
a=0x7431; output=0x86fc
a=0x3e3e; output=0xbcef
a=0x408f; output=0xba9e
a=0x4dca; output=0xad63
a=0x0c4d; output=0xeee0
a=0x25f1; output=0xd53c
a=0x7581; output=0x85ac
a=0x504e; output=0xaadf
a=0x381d; output=0xc310
a=0x6f44; output=0x8be9
a=0xe92e; output=0x11ff
a=0xbd76; output=0x3db7
a=0x4818; output=0xb315
a=0x0069; output=0xfac4
a=0x265f; output=0xd4ce
a=0xc0a5; output=0x3a88
a=0x4e76; output=0xacb7
a=0xd02c; output=0x2b01
a=0x3a7a; output=0xc0b3
a=0x90a7; output=0x6a86
a=0xc901; output=0x322c
a=0x1192; output=0xe99b
a=0x4788; output=0xb3a5
a=0xd7ba; output=0x2373
a=0xec1a; output=0x0f13
a=0x246b; output=0xd6c2
a=0xa300; output=0x582d
a=0xb974; output=0x41b9
a=0x50c6; output=0xaa67
a=0x5e09; output=0x9d24
a=0x3a38; output=0xc0f5
a=0x6b61; output=0x8fcc
a=0x500b; output=0xab22
a=0x54ee; output=0xa63f
a=0xbfe8; output=0x3b45
a=0x4bbb; output=0xaf72
a=0xd3e6; output=0x2747
a=0x7ff2; output=0x7b3b
a=0xae28; output=0x4d05
a=0x658f; output=0x959e
a=0xe6c1; output=0x146c
a=0xffd1; output=0xfb5c
a=0x6121; output=0x9a0c
a=0x8e76; output=0x6cb7
a=0x6931; output=0x91fc
a=0x9574; output=0x65b9
a=0xb1bf; output=0x496e
a=0xbe63; output=0x3cca
a=0x688e; output=0x929f
a=0xe0f6; output=0x1a37
a=0x1cbb; output=0xde72
a=0x77db; output=0x8352
a=0xcef6; output=0x2c37
a=0xb190; output=0x499d
a=0xdcb3; output=0x1e7a
a=0x6761; output=0x93cc
a=0xde10; output=0x1d1d
a=0x4fa0; output=0xab8d
a=0xa4c8; output=0x5665
a=0x7f43; output=0x7bea
a=0x0c94; output=0xee99
a=0xf8aa; output=0x0283
a=0x17dc; output=0xe351
a=0x7c62; output=0x7ecb
a=0x46ed; output=0xb440
a=0x517d; output=0xa9b0
a=0xa043; output=0x5aea
a=0x886f; output=0x72be
a=0xfc09; output=0xff24
a=0x9868; output=0x62c5
a=0xdc65; output=0x1ec8
a=0x9e19; output=0x5d14
a=0xfba8; output=0xff85
a=0x2109; output=0xda24
a=0x2b16; output=0xd017
a=0xd441; output=0x26ec
a=0xc39b; output=0x3792
a=0x95d8; output=0x6555
a=0xae68; output=0x4cc5
a=0xa0ba; output=0x5a73
a=0x7e10; output=0x7d1d
a=0x5a56; output=0xa0d7
a=0x208a; output=0xdaa3
a=0x9d4e; output=0x5ddf
a=0x44a0; output=0xb68d
a=0xf674; output=0x04b9
a=0x411a; output=0xba13
a=0xa892; output=0x529b
a=0x316d; output=0xc9c0
a=0xf481; output=0x06ac
a=0xb751; output=0x43dc
a=0x43cf; output=0xb75e
a=0xb73b; output=0x43f2
a=0xc843; output=0x32ea
a=0xf7cf; output=0x035e
a=0x28db; output=0xd252
a=0x1a22; output=0xe10b
a=0xf8a5; output=0x0288
a=0x37ef; output=0xc33e
a=0xdd19; output=0x1e14
a=0xda3d; output=0x20f0
a=0x3906; output=0xc227
a=0x19bf; output=0xe16e
a=0xe481; output=0x16ac
a=0x6c6e; output=0x8ebf
a=0xde94; output=0x1c99
a=0x4a65; output=0xb0c8
a=0x3236; output=0xc8f7
a=0xb0dd; output=0x4a50
a=0x1ba2; output=0xdf8b
a=0x7614; output=0x8519
a=0xadc2; output=0x4d6b
a=0x8513; output=0x761a
a=0xd673; output=0x24ba
a=0xc634; output=0x34f9
a=0xbf15; output=0x3c18
a=0xa061; output=0x5acc
a=0x0428; output=0xf705
a=0xd5f0; output=0x253d
a=0x9eab; output=0x5c82
a=0xe542; output=0x15eb
a=0x8582; output=0x75ab
a=0x9b57; output=0x5fd6
a=0x585f; output=0xa2ce
a=0x661b; output=0x9512
a=0x22bb; output=0xd872
a=0x1820; output=0xe30d
a=0x967f; output=0x64ae
a=0xda5e; output=0x20cf
a=0xabeb; output=0x4f42
a=0xfe36; output=0xfcf7
a=0xc556; output=0x35d7
a=0x2d2c; output=0xce01
a=0x480a; output=0xb323
a=0x2edb; output=0xcc52
a=0xbacf; output=0x405e
a=0xcdbb; output=0x2d72
a=0xa115; output=0x5a18
a=0xc0f3; output=0x3a3a
a=0xf409; output=0x0724
a=0x7598; output=0x8595
a=0x4569; output=0xb5c4
a=0x44c4; output=0xb669
a=0x1fc9; output=0xdb64
a=0xcf2c; output=0x2c01
a=0x3425; output=0xc708
a=0x041e; output=0xf70f
a=0xd7c2; output=0x236b
a=0xbbac; output=0x3f81
a=0x711c; output=0x8a11
a=0xd73d; output=0x23f0
a=0xddc4; output=0x1d69
a=0xcca4; output=0x2e89
a=0x7660; output=0x84cd
a=0x0a3b; output=0xf0f2
a=0x348e; output=0xc69f
a=0x61d6; output=0x9957
a=0x9a27; output=0x6106
a=0x5fcb; output=0x9b62
a=0x77d1; output=0x835c
a=0xe7f9; output=0x1334
a=0x45ca; output=0xb563
a=0x5841; output=0xa2ec
a=0xae61; output=0x4ccc
a=0xbbf1; output=0x3f3c
a=0x5667; output=0xa4c6
a=0xfa60; output=0x00cd
a=0xc345; output=0x37e8
a=0x5df3; output=0x9d3a
a=0x05f6; output=0xf537
a=0xf614; output=0x0519
a=0x5f36; output=0x9bf7
a=0xb2cf; output=0x485e
a=0x1149; output=0xe9e4
a=0x5f8b; output=0x9ba2
a=0x0814; output=0xf319
a=0xba82; output=0x40ab
a=0xb190; output=0x499d
a=0x437f; output=0xb7ae
a=0x6608; output=0x9525
a=0x15e2; output=0xe54b
a=0xb97c; output=0x41b1
a=0x07a6; output=0xf387
a=0x9685; output=0x64a8
a=0x2f1d; output=0xcc10
a=0xe6d2; output=0x145b
a=0x4ac7; output=0xb066
a=0xee85; output=0x0ca8
a=0xb618; output=0x4515
a=0x1ed1; output=0xdc5c
a=0x7aa4; output=0x8089
a=0xc63c; output=0x34f1
a=0xdf12; output=0x1c1b
a=0x036c; output=0xf7c1
a=0x46aa; output=0xb483
a=0xc5f6; output=0x3537
a=0xe443; output=0x16ea
a=0x658d; output=0x95a0
a=0xf100; output=0x0a2d
a=0xa9d7; output=0x5156
a=0xb14a; output=0x49e3
a=0x688f; output=0x929e
a=0x6782; output=0x93ab
a=0x5450; output=0xa6dd
a=0x43ad; output=0xb780
a=0xc963; output=0x31ca
a=0xd822; output=0x230b
a=0x0b2f; output=0xeffe
a=0xb6c0; output=0x446d
a=0x485d; output=0xb2d0
a=0xc311; output=0x381c
a=0xc0e1; output=0x3a4c
a=0x8ba2; output=0x6f8b
a=0x23d4; output=0xd759
a=0x68bb; output=0x9272
a=0xfc07; output=0xff26
a=0x65b6; output=0x9577
a=0x9c2b; output=0x5f02
a=0x1582; output=0xe5ab
a=0xba1d; output=0x4110
a=0xf835; output=0x02f8
a=0x9582; output=0x65ab
a=0x4085; output=0xbaa8
a=0x20bb; output=0xda72
a=0x126a; output=0xe8c3
a=0x0972; output=0xf1bb
a=0xf89d; output=0x0290
a=0x15dd; output=0xe550
a=0x9dc5; output=0x5d68
a=0x5245; output=0xa8e8
a=0x0bd9; output=0xef54
a=0xf9cf; output=0x015e
a=0x5abb; output=0xa072
a=0x43ed; output=0xb740
a=0xef41; output=0x0bec
a=0xdd6a; output=0x1dc3
a=0xbf67; output=0x3bc6
a=0xb180; output=0x49ad
a=0xd023; output=0x2b0a
a=0xf389; output=0x07a4
a=0x8f51; output=0x6bdc
a=0x07f1; output=0xf33c
a=0x7b81; output=0x7fac
a=0x627a; output=0x98b3
a=0x7ce4; output=0x7e49
a=0x2144; output=0xd9e9
a=0xd495; output=0x2698
a=0x2587; output=0xd5a6
a=0xafbc; output=0x4b71
a=0x77c2; output=0x836b
a=0x3c77; output=0xbeb6
a=0xde9c; output=0x1c91
a=0x4e0a; output=0xad23
a=0x0f0a; output=0xec23
a=0x37c3; output=0xc36a
a=0x5c09; output=0x9f24
a=0xf8ce; output=0x025f
a=0xd90e; output=0x221f
a=0x92a2; output=0x688b
a=0xed1a; output=0x0e13
a=0x6c8d; output=0x8ea0
a=0x87a5; output=0x7388
a=0x08e1; output=0xf24c
a=0x70dc; output=0x8a51
a=0x8427; output=0x7706
a=0x27cc; output=0xd361
a=0xce41; output=0x2cec
a=0x60f1; output=0x9a3c
a=0x11c4; output=0xe969
a=0x4b05; output=0xb028
a=0x74fe; output=0x862f
a=0x8b9e; output=0x6f8f
a=0x028d; output=0xf8a0
a=0x8de0; output=0x6d4d
a=0x5189; output=0xa9a4
a=0x4543; output=0xb5ea
a=0x22d0; output=0xd85d
a=0x1dc6; output=0xdd67
a=0x03af; output=0xf77e
a=0xcb77; output=0x2fb6
a=0x0e58; output=0xecd5
a=0x764e; output=0x84df
a=0xba16; output=0x4117
a=0x6fdd; output=0x8b50
a=0xe942; output=0x11eb
a=0xcaf5; output=0x3038
a=0x1654; output=0xe4d9
a=0x3856; output=0xc2d7
a=0xb927; output=0x4206
a=0xddca; output=0x1d63
a=0xb8c0; output=0x426d
a=0xc2b8; output=0x3875
a=0x7841; output=0x82ec
a=0x5211; output=0xa91c
a=0x3e57; output=0xbcd6
a=0xe57a; output=0x15b3
a=0x0247; output=0xf8e6
a=0x0aba; output=0xf073
a=0x7e5a; output=0x7cd3
a=0x7bed; output=0x7f40
a=0x9217; output=0x6916
a=0xce34; output=0x2cf9
a=0x28c5; output=0xd268
a=0xc6d7; output=0x3456
a=0x3e74; output=0xbcb9
a=0x1f0c; output=0xdc21
a=0x5444; output=0xa6e9
a=0xa6c7; output=0x5466
a=0x859a; output=0x7593
a=0x58bf; output=0xa26e
a=0xd281; output=0x28ac
a=0x6911; output=0x921c
a=0xe22d; output=0x1900
a=0x3262; output=0xc8cb
a=0x9fb7; output=0x5b76
a=0x95ca; output=0x6563
a=0x79e6; output=0x8147
a=0xe210; output=0x191d
a=0xc897; output=0x3296
a=0x5cc6; output=0x9e67
a=0x3e2e; output=0xbcff
a=0xca6d; output=0x30c0
a=0xdbc9; output=0x1f64
a=0xf7c7; output=0x0366
a=0x0390; output=0xf79d
a=0x7ec0; output=0x7c6d
a=0x61dc; output=0x9951
a=0x7c11; output=0x7f1c
a=0xe2de; output=0x184f
a=0xd411; output=0x271c
a=0xe5e3; output=0x154a
a=0x49fe; output=0xb12f
a=0x503d; output=0xaaf0
a=0x89e5; output=0x7148
a=0xefc2; output=0x0b6b
a=0xbb2c; output=0x4001
a=0x2ac7; output=0xd066
a=0xd68a; output=0x24a3
a=0xea7a; output=0x10b3
a=0x3bfe; output=0xbf2f
a=0xebec; output=0x0f41
a=0x5388; output=0xa7a5
a=0x06b8; output=0xf475
a=0x51a7; output=0xa986
a=0x859a; output=0x7593
a=0x9815; output=0x6318
a=0x4433; output=0xb6fa
a=0x6ac6; output=0x9067
a=0xa443; output=0x56ea
a=0xe8dc; output=0x1251
a=0x6418; output=0x9715
a=0xdb9e; output=0x1f8f
a=0x5f1b; output=0x9c12
a=0xa400; output=0x572d
a=0xe7d7; output=0x1356
a=0x039d; output=0xf790
a=0x93cf; output=0x675e
a=0x6483; output=0x96aa
a=0xe671; output=0x14bc
a=0x4b1f; output=0xb00e
a=0x6a06; output=0x9127
a=0xb17d; output=0x49b0
a=0x8800; output=0x732d
a=0xa92f; output=0x51fe
a=0xe021; output=0x1b0c
a=0x8ca0; output=0x6e8d
a=0xc3e2; output=0x374b
a=0x1501; output=0xe62c
a=0x2ca2; output=0xce8b
a=0x7381; output=0x87ac
a=0xe69e; output=0x148f
a=0xf4f0; output=0x063d
a=0x9067; output=0x6ac6
a=0xe1fd; output=0x1930
a=0xf5a8; output=0x0585
a=0x7a68; output=0x80c5
a=0xee2d; output=0x0d00
a=0x721d; output=0x8910
a=0x3757; output=0xc3d6
a=0x2834; output=0xd2f9
a=0xf4ac; output=0x0681
a=0x57a0; output=0xa38d
a=0xa0c2; output=0x5a6b
a=0x603d; output=0x9af0
a=0xb624; output=0x4509
a=0x8034; output=0x7af9
a=0x6b07; output=0x9026
a=0x79a9; output=0x8184
a=0x0874; output=0xf2b9
a=0xc78f; output=0x339e
a=0x9683; output=0x64aa
a=0xd34b; output=0x27e2
a=0xbe8f; output=0x3c9e
a=0x00d4; output=0xfa59
a=0xb58b; output=0x45a2
a=0xb845; output=0x42e8
a=0x2573; output=0xd5ba
a=0x7e0c; output=0x7d21
a=0x0103; output=0xfa2a
a=0x362a; output=0xc503
a=0x85b2; output=0x757b
a=0x545e; output=0xa6cf
a=0x3481; output=0xc6ac
a=0xe8c9; output=0x1264
a=0x62ef; output=0x983e
a=0x8f70; output=0x6bbd
a=0x57eb; output=0xa342
a=0xdbf1; output=0x1f3c
a=0x4259; output=0xb8d4
a=0x6215; output=0x9918
a=0x6120; output=0x9a0d
a=0x0eef; output=0xec3e
a=0xa094; output=0x5a99
a=0xf7a1; output=0x038c
a=0xf84b; output=0x02e2
a=0x1746; output=0xe3e7
a=0x4fbc; output=0xab71
a=0x1897; output=0xe296
a=0x589f; output=0xa28e
a=0x50cd; output=0xaa60
a=0xe31f; output=0x180e
a=0xf8b8; output=0x0275
a=0x0c5c; output=0xeed1
a=0x4e27; output=0xad06
a=0xbe61; output=0x3ccc
a=0x201c; output=0xdb11
a=0x526d; output=0xa8c0
a=0x2b42; output=0xcfeb
a=0xfda4; output=0xfd89
a=0x4571; output=0xb5bc
a=0xf434; output=0x06f9
a=0x5a8e; output=0xa09f
a=0x64bf; output=0x966e
a=0x4392; output=0xb79b
a=0x9ba4; output=0x5f89
a=0x7597; output=0x8596
a=0x8136; output=0x79f7
a=0x0fcd; output=0xeb60
a=0x9147; output=0x69e6
a=0x981e; output=0x630f
a=0x5b91; output=0x9f9c
a=0xc14e; output=0x39df
a=0xd9e6; output=0x2147
a=0x98f0; output=0x623d
a=0xf33f; output=0x07ee
a=0x003a; output=0xfaf3
a=0x18e8; output=0xe245
a=0x3860; output=0xc2cd
a=0x4e9b; output=0xac92
a=0x075e; output=0xf3cf
a=0x46a2; output=0xb48b
a=0xb8ae; output=0x427f
a=0x801e; output=0x7b0f
a=0x4f15; output=0xac18
a=0x422b; output=0xb902
a=0x6574; output=0x95b9
a=0x8ab9; output=0x7074
a=0x0973; output=0xf1ba
a=0x4838; output=0xb2f5
a=0xefd7; output=0x0b56
a=0xb5a2; output=0x458b
a=0x37b4; output=0xc379
a=0x8ea2; output=0x6c8b
a=0xb126; output=0x4a07
a=0x2884; output=0xd2a9
a=0xee43; output=0x0cea
a=0xae2a; output=0x4d03
a=0x3515; output=0xc618
a=0x4ebc; output=0xac71
a=0x3094; output=0xca99
a=0x30f8; output=0xca35
a=0x41f9; output=0xb934
a=0x24ec; output=0xd641
a=0x75bb; output=0x8572
a=0x1fc8; output=0xdb65
a=0x39fc; output=0xc131
a=0xf7bf; output=0x036e
a=0x0c1f; output=0xef0e
a=0x30c9; output=0xca64
a=0xbecc; output=0x3c61
a=0x17df; output=0xe34e
a=0xe1b9; output=0x1974
a=0x60fc; output=0x9a31
a=0x5567; output=0xa5c6
a=0x9a9e; output=0x608f
a=0xc2bb; output=0x3872
a=0x51e8; output=0xa945
a=0x99d7; output=0x6156
a=0x87da; output=0x7353
a=0xa891; output=0x529c
a=0x0ad1; output=0xf05c
a=0xa816; output=0x5317
a=0xd485; output=0x26a8
a=0x07c5; output=0xf368
a=0x9808; output=0x6325
a=0xfc98; output=0xfe95
a=0x4f3d; output=0xabf0
a=0x9e28; output=0x5d05
a=0xaab5; output=0x5078
a=0x9a53; output=0x60da
a=0x21f3; output=0xd93a
a=0xf67d; output=0x04b0
a=0x3252; output=0xc8db
a=0xb010; output=0x4b1d
a=0x242c; output=0xd701
a=0x59e1; output=0xa14c
a=0x1ccf; output=0xde5e
a=0x0a5b; output=0xf0d2
a=0xbc96; output=0x3e97
a=0x1f62; output=0xdbcb
a=0x59ed; output=0xa140
a=0x6a5b; output=0x90d2
a=0xd03d; output=0x2af0
a=0x40b4; output=0xba79
a=0x5671; output=0xa4bc
a=0xbe3d; output=0x3cf0
a=0x49aa; output=0xb183
a=0xc1d9; output=0x3954
a=0x4061; output=0xbacc
a=0x7b00; output=0x802d
a=0xbabb; output=0x4072
a=0x3abd; output=0xc070
a=0x83f7; output=0x7736
a=0xf80d; output=0x0320
a=0xaf97; output=0x4b96
a=0x0950; output=0xf1dd
a=0xfae7; output=0x0046
a=0xc62f; output=0x34fe
a=0xf52c; output=0x0601
a=0xb97c; output=0x41b1
a=0x8d6a; output=0x6dc3
a=0x6fe5; output=0x8b48
a=0x14aa; output=0xe683
a=0x6a6d; output=0x90c0
a=0xfca6; output=0xfe87
a=0x84bc; output=0x7671
a=0x5adf; output=0xa04e
a=0x7c3e; output=0x7eef
a=0x6bd5; output=0x8f58
a=0x87fc; output=0x7331
a=0x1df0; output=0xdd3d
a=0x8c06; output=0x6f27
a=0x4fa8; output=0xab85
a=0x091c; output=0xf211
a=0xd26b; output=0x28c2
a=0x509b; output=0xaa92
a=0x969d; output=0x6490
a=0xe267; output=0x18c6
a=0x1db2; output=0xdd7b
a=0xf4b6; output=0x0677
a=0x9f55; output=0x5bd8
a=0xe3d1; output=0x175c
a=0x220d; output=0xd920
a=0x63f1; output=0x973c
a=0x0f07; output=0xec26
a=0xdb03; output=0x202a
a=0xeccc; output=0x0e61
a=0xdc20; output=0x1f0d
a=0x4d45; output=0xade8
a=0x428c; output=0xb8a1
a=0x98db; output=0x6252
a=0x4a09; output=0xb124
a=0x231b; output=0xd812
a=0x4ba8; output=0xaf85
a=0x45be; output=0xb56f
a=0x6dc0; output=0x8d6d
a=0x81fe; output=0x792f
